Symbol	Type	Valence	Arousal	Dominance
aardvark	word	6.26	2.41	4.27
abalone	word	5.3	2.65	4.95
abandon	word	2.84	3.73	3.32
abandonment	word	2.63	4.95	2.64
abbey	word	5.85	2.2	5
abdomen	word	5.43	3.68	5.15
abdominal	word	4.48	3.5	5.32
abduct	word	2.42	5.9	2.75
abduction	word	2.05	5.33	3.02
abide	word	5.52	3.26	5.33
abiding	word	5.57	3.59	6.6
ability	word	7	4.85	6.55
abject	word	4	3.94	4.35
ablaze	word	5.15	6.75	4.58
able	word	6.64	3.38	6.17
abnormal	word	3.53	4.48	4.7
abnormality	word	3.05	5	3.96
abode	word	5.28	2.9	5.05
abolish	word	3.84	4.18	4.65
abominable	word	4.05	5.45	4.62
abomination	word	2.5	5.9	3.8
abort	word	3.1	5.8	3.38
abortion	word	2.58	5.43	4.73
abracadabra	word	5.11	5.27	4.96
abrasive	word	4.26	6.1	4.94
abreast	word	4.62	4.61	5.19
abrupt	word	3.28	5.23	3.75
abscess	word	2.79	4	3.95
absence	word	3.86	4.3	4.24
absent	word	4.1	3.72	4.21
absinthe	word	3.53	3.7	3.95
absolute	word	5.43	3.48	5.58
absolution	word	6.58	3.38	5.75
absolve	word	4.58	3.53	4.82
absorb	word	5.5	4.27	5.62
abstain	word	4.4	3.1	6.08
abstinence	word	3.43	3.15	5.64
abstract	word	5.25	3.96	5.53
absurd	word	4.45	4.02	5.06
absurdity	word	4.06	4.7	5.37
abundance	word	6.67	4.72	5.66
abundant	word	7.55	4.21	5.81
abuse	word	1.53	6.21	2.9
abusive	word	2.05	5.27	3.58
abysmal	word	3.45	3.91	3.76
abyss	word	3.9	4.85	4
academic	word	6.61	3.32	6.21
academy	word	5.32	3.77	5.38
accelerant	word	4.59	4.81	6.04
accelerate	word	6.1	6.04	6.15
accelerated	word	6.21	4.75	6.29
acceleration	word	6.19	6.73	5.76
accelerator	word	5.63	5	6.65
accent	word	6.48	4.95	5.36
accept	word	6.39	2.8	5.94
acceptable	word	6.59	3.65	6.58
acceptance	word	6.84	4.3	6.49
access	word	6.68	5.3	6.89
accessible	word	6.68	3.2	6.58
accessory	word	5.35	4.22	5.83
accident	word	2.55	4.93	3
accidental	word	3.46	4	3.41
acclaim	word	6.1	3.95	5.77
accommodate	word	6.35	3	6.27
accommodation	word	6.76	4.72	6
accompany	word	5.47	3.85	5.63
accomplice	word	4.6	4.5	5.2
accomplish	word	7.45	5.16	7.27
accomplishment	word	8.05	4.96	6.5
